Dll,Assembly,Service,Package,Type,Interface
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SWebApplicationCtxSvc,,,Microsoft.VisualStudio.Shell.Interop.IWebApplicationCtxSvc
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsSourceControl,,,Microsoft.VisualStudio.Shell.Interop.SVsSourceControl
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SExtensionManager,,,Microsoft.VisualStudio.Shell.Interop.SExtensionManager
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SDTE,,,Microsoft.VisualStudio.OLE.Interop.IExternalConnection
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SDTE,,,Microsoft.VisualStudio.OLE.Interop.IServiceProvider
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SDTE,,,Microsoft.VisualStudio.Shell.Interop.SDTE
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsDetermineWizardTrust,,,Microsoft.VisualStudio.Shell.Interop.IVsDetermineWizardTrust
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCommandWindowsCollection,,,Microsoft.VisualStudio.Shell.Interop.IVsCommandWindowsCollection
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsThreadPool,,,Microsoft.VisualStudio.Shell.Interop.IVsThreadPool
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsMainWindowDropTarget,,,Microsoft.VisualStudio.OLE.Interop.IDropTarget
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsOpenProjectOrSolutionDlg,,,Microsoft.VisualStudio.OLE.Interop.IOleCommandTarget
